img_path,label
data/gen_data/1.png,1
data/gen_data/2.png,5
data/gen_data/3.png,4
data/gen_data/4.png,6
data/gen_data/5.png,6
data/gen_data/6.png,1
data/gen_data/7.png,7
data/gen_data/8.png,0
data/gen_data/9.png,4
data/gen_data/10.png,1
data/gen_data/11.png,1
data/gen_data/12.png,3
data/gen_data/13.png,1
data/gen_data/14.png,0
data/gen_data/15.png,4
data/gen_data/16.png,1
data/gen_data/17.png,4
data/gen_data/18.png,7
data/gen_data/19.png,4
data/gen_data/20.png,3
data/gen_data/21.png,7
data/gen_data/22.png,5
data/gen_data/23.png,5
data/gen_data/24.png,5
data/gen_data/25.png,1
data/gen_data/26.png,1
data/gen_data/27.png,2
data/gen_data/28.png,0
data/gen_data/29.png,4
data/gen_data/30.png,8
data/gen_data/31.png,4
data/gen_data/32.png,7
data/gen_data/33.png,2
data/gen_data/34.png,5
data/gen_data/35.png,5
data/gen_data/36.png,2
data/gen_data/37.png,2
data/gen_data/38.png,3
data/gen_data/39.png,7
data/gen_data/40.png,1
data/gen_data/41.png,7
data/gen_data/42.png,5
data/gen_data/43.png,1
data/gen_data/44.png,5
data/gen_data/45.png,2
data/gen_data/46.png,1
data/gen_data/47.png,5
data/gen_data/48.png,8
data/gen_data/49.png,5
data/gen_data/50.png,1
data/gen_data/51.png,5
data/gen_data/52.png,3
data/gen_data/53.png,1
data/gen_data/54.png,3
data/gen_data/55.png,4
data/gen_data/56.png,2
data/gen_data/57.png,3
data/gen_data/58.png,2
data/gen_data/59.png,6
data/gen_data/60.png,2
data/gen_data/61.png,0
data/gen_data/62.png,0
data/gen_data/63.png,5
data/gen_data/64.png,2
data/gen_data/65.png,1
data/gen_data/66.png,3
data/gen_data/67.png,4
data/gen_data/68.png,1
data/gen_data/69.png,0
data/gen_data/70.png,0
data/gen_data/71.png,4
data/gen_data/72.png,3
data/gen_data/73.png,2
data/gen_data/74.png,0
data/gen_data/75.png,6
data/gen_data/76.png,8
data/gen_data/77.png,3
data/gen_data/78.png,2
data/gen_data/79.png,7
data/gen_data/80.png,9
data/gen_data/81.png,2
data/gen_data/82.png,4
data/gen_data/83.png,3
data/gen_data/84.png,2
data/gen_data/85.png,6
data/gen_data/86.png,5
data/gen_data/87.png,3
data/gen_data/88.png,5
data/gen_data/89.png,5
data/gen_data/90.png,1
data/gen_data/91.png,9
data/gen_data/92.png,4
data/gen_data/93.png,6
data/gen_data/94.png,7
data/gen_data/95.png,4
data/gen_data/96.png,2
data/gen_data/97.png,5
data/gen_data/98.png,5
data/gen_data/99.png,6
data/gen_data/100.png,3
data/gen_data/101.png,3
data/gen_data/102.png,4
data/gen_data/103.png,3
data/gen_data/104.png,3
data/gen_data/105.png,2
data/gen_data/106.png,4
data/gen_data/107.png,6
data/gen_data/108.png,7
data/gen_data/109.png,6
data/gen_data/110.png,2
data/gen_data/111.png,3
data/gen_data/112.png,2
data/gen_data/113.png,3
data/gen_data/114.png,5
data/gen_data/115.png,3
data/gen_data/116.png,7
data/gen_data/117.png,0
data/gen_data/118.png,5
data/gen_data/119.png,3
data/gen_data/120.png,4
data/gen_data/121.png,5
data/gen_data/122.png,5
data/gen_data/123.png,11
data/gen_data/124.png,4
data/gen_data/125.png,6
data/gen_data/126.png,1
data/gen_data/127.png,1
data/gen_data/128.png,2
data/gen_data/129.png,1
data/gen_data/130.png,2
data/gen_data/131.png,1
data/gen_data/132.png,4
data/gen_data/133.png,0
data/gen_data/134.png,4
data/gen_data/135.png,4
data/gen_data/136.png,5
data/gen_data/137.png,5
data/gen_data/138.png,1
data/gen_data/139.png,5
data/gen_data/140.png,5
data/gen_data/141.png,8
data/gen_data/142.png,0
data/gen_data/143.png,3
data/gen_data/144.png,8
data/gen_data/145.png,6
data/gen_data/146.png,2
data/gen_data/147.png,1
data/gen_data/148.png,4
data/gen_data/149.png,7
data/gen_data/150.png,2
data/gen_data/151.png,3
data/gen_data/152.png,5
data/gen_data/153.png,0
data/gen_data/154.png,3
data/gen_data/155.png,6
data/gen_data/156.png,5
data/gen_data/157.png,5
data/gen_data/158.png,5
data/gen_data/159.png,4
data/gen_data/160.png,6
data/gen_data/161.png,3
data/gen_data/162.png,6
data/gen_data/163.png,4
data/gen_data/164.png,2
data/gen_data/165.png,5
data/gen_data/166.png,2
data/gen_data/167.png,5
data/gen_data/168.png,5
data/gen_data/169.png,6
data/gen_data/170.png,4
data/gen_data/171.png,6
data/gen_data/172.png,4
data/gen_data/173.png,2
data/gen_data/174.png,3
data/gen_data/175.png,7
data/gen_data/176.png,3
data/gen_data/177.png,5
data/gen_data/178.png,7
data/gen_data/179.png,4
data/gen_data/180.png,10
data/gen_data/181.png,5
data/gen_data/182.png,0
data/gen_data/183.png,5
data/gen_data/184.png,1
data/gen_data/185.png,6
data/gen_data/186.png,4
data/gen_data/187.png,3
data/gen_data/188.png,6
data/gen_data/189.png,1
data/gen_data/190.png,3
data/gen_data/191.png,5
data/gen_data/192.png,5
data/gen_data/193.png,0
data/gen_data/194.png,1
data/gen_data/195.png,1
data/gen_data/196.png,2
data/gen_data/197.png,0
data/gen_data/198.png,1
data/gen_data/199.png,0
data/gen_data/200.png,3
data/gen_data/201.png,1
data/gen_data/202.png,6
data/gen_data/203.png,5
data/gen_data/204.png,0
data/gen_data/205.png,1
data/gen_data/206.png,7
data/gen_data/207.png,0
data/gen_data/208.png,1
data/gen_data/209.png,2
data/gen_data/210.png,1
data/gen_data/211.png,1
data/gen_data/212.png,4
data/gen_data/213.png,4
data/gen_data/214.png,7
data/gen_data/215.png,5
data/gen_data/216.png,1
data/gen_data/217.png,6
data/gen_data/218.png,2
data/gen_data/219.png,1
data/gen_data/220.png,3
data/gen_data/221.png,2
data/gen_data/222.png,3
data/gen_data/223.png,3
data/gen_data/224.png,7
data/gen_data/225.png,3
data/gen_data/226.png,0
data/gen_data/227.png,4
data/gen_data/228.png,0
data/gen_data/229.png,8
data/gen_data/230.png,1
data/gen_data/231.png,4
